All,બધા
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","કૃપા કરીને <a href=""%1""> કેશ મેનેજમેન્ટ </a> પર જાઓ અને કેશ પ્રકારો તાજું કરો."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","અમે એક અથવા વધુ મીડિયા ફાઇલોને સમન્વયિત કરવામાં અસમર્થ હતાં. વિગતો માટે મહેરબાની કરીને લોગ ફાઈલનો સંદર્ભ લો."
"Synchronization of media storages has been completed.","મીડિયા સ્ટોરેજનું સમન્વયન પૂર્ણ થઈ ગયું છે."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","તમારું વેબ સર્વર ખોટી રીતે સેટ થયું છે અને સંવેદનશીલ ફાઇલોની અનધિકૃત પ્રવેશને મંજૂરી આપે છે."
"System Messages:","સિસ્ટમ સંદેશાઓ:"
"Critical System Messages","જટિલ સિસ્ટમ સંદેશાઓ"
"Major System Messages","મુખ્ય સિસ્ટમ સંદેશાઓ"
"System messages","સિસ્ટમ સંદેશાઓ"
Close,બંધ
"See All (","બધા જુઓ ("
" unread)"," ન વાંચેલું)"
"Show Toolbar","ટૂલબાર બતાવો"
"Show List","સૂચિ બતાવો"
"Use HTTPS to Get Feed","ફીડ મેળવવા માટે HTTPS નો ઉપયોગ કરો"
"Update Frequency","આવર્તન અદ્યતન બનાવવું"
"Last Update","છેલ્લો સુધારો"
Severity,તીવ્રતા
"Date Added","તારીખ ઉમેરી"
Message,સંદેશ
Actions,ક્રિયાઓ
"Manage Shopping Cart","શોપિંગ કાર્ટ મેનેજ કરો"
"Create Order","ઓર્ડર બનાવો"
Back,પાછું
"Add Products","ઉત્પાદનો ઉમેરો"
"Update Items and Quantities","વસ્તુઓ અને જથ્થો સુધારો કરો"
"Are you sure you want to clear your cart?","શું તમે ખરેખર તમારા કાર્ટને સાફ કરવા માંગો છો?"
"Clear my shopping cart","મારી શોપિંગ કાર્ટ સાફ કરો"
"Add selections to my cart","મારા કાર્ટ પસંદગીઓ ઉમેરો"
Cancel,"રદ કરો"
"Shopping Cart for %1 in %2","%2 માં %1 માટે શોપિંગ કાર્ટ"
"Select products you want to buy","તમે ખરીદવા માંગતા હો તે ઉત્પાદનો પસંદ કરો"
Product,ઉત્પાદન
Price,કિંમત
Quantity,જથ્થો
"Products in the Comparison List (%1)","તુલના સૂચિમાં ઉત્પાદનો (%1)"
"Last ordered items (%1)","છેલ્લી આદેશિત વસ્તુઓ (%1)"
Products,ઉત્પાદનો
ID,આઇડી
SKU,એસકેયુ
"Recently Compared Products (%1)","તાજેતરમાં સરખાવેલ ઉત્પાદનો (%1)"
"Recently Viewed Products (%1)","તાજેતરમાં જોવાયેલી ઉત્પાદનો (%1)"
"Add to Shopping Cart by SKU","એસકેયુ દ્વારા શોપિંગ કાર્ટમાં ઉમેરો"
"Add to Shopping Cart","શોપિંગ કાર્ટ ઉમેરો"
"Wish List (%1)","ઇચ્છા સૂચિ (%1)"
Apply,"અરજી કરો"
Configure,"રૂપરેખાંકિત કરો"
"Add to Order by SKU","એસકેયુ દ્વારા ઓર્ડર ઉમેરો"
"Add to Order","ક્રમમાં ઉમેરો"
"Add Products to Order","ઑર્ડર કરવા માટે ઉત્પાદનો ઉમેરો"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span> <span id = ""sku-attention-num"">%1 </ span> ઉત્પાદન (્સ) ને ધ્યાન આપવાની જરૂર છે. </ span>"
"Remove All","બધા દૂર કરો"
"Only %1%2%3 left in stock","જથ્થોમાં ફક્ત %1 %2 %3 બાકી"
"You can buy up to %1 of these per purchase.","તમે આ ખરીદીમાંથી %1 સુધી ખરીદી શકો છો."
"You must buy at least %1 of these per purchase.","તમારે આ ખરીદીમાંથી ઓછામાં ઓછા %1 ખરીદવું આવશ્યક છે."
"Specify the product's options.","ઉત્પાદનના વિકલ્પો સ્પષ્ટ કરો."
"Alert me when this item is available.","જ્યારે આ આઇટમ ઉપલબ્ધ છે ત્યારે મને ચેતવણી આપો."
"Shopping cart management is disabled for this customer.","શોપિંગ કાર્ટ મેનેજમેન્ટ આ ગ્રાહક માટે અક્ષમ છે."
Customers,ગ્રાહકો
"Shopping Cart","શોપિંગ કાર્ટ"
"You do not have access to this.","તમારી પાસે આની પ્રવેશ નથી."
"An error has occurred. See error log for details.","એક ભૂલ આવી. વિગતો માટે ભૂલ લોગ જુઓ."
"You cannot configure a product.","તમે કોઈ ઉત્પાદનને ગોઠવી શકતા નથી."
"You removed the items.","તમે વસ્તુઓ કાઢી નાખી."
"You removed the item.","તમે વસ્તુ કાઢી નાખી."
"You added %1 to your shopping cart.","તમે તમારી શોપિંગ કાર્ટમાં %1 ઉમેર્યા."
"You cannot add a product.","તમે કોઈ ઉત્પાદન ઉમેરી શકતા નથી."
"Order by SKU","એસકેયુ દ્વારા ઓર્ડર"
"The SKU was not found in the catalog.","સૂચિમાં એસકેયુ મળી નથી."
"Availability: Out of stock.","ઉપલબ્ધતા: સ્ટોકની બહાર."
"We don't have as many of these as you want.","તમને જોઈએ તેટલું આમાં અમારી પાસે નથી."
"You can't add this many to your cart.","તમે આને તમારા કાર્ટમાં ઉમેરી શકતા નથી."
"You need to choose options for your item.","તમારે તમારી વસ્તુ માટે વિકલ્પો પસંદ કરવાની જરૂર છે."
"We can't add the item to your cart.","અમે તમારા કાર્ટમાં વસ્તુ ઉમેરી શકતા નથી."
"Please enter an actual number in the ""Qty"" field.","કૃપા કરીને ""ક્વોલિટી"" ક્ષેત્રમાં વાસ્તવિક સંખ્યા દાખલ કરો."
"This product is assigned to another website.","આ ઉત્પાદન બીજી વેબસાઇટ પર સોંપવામાં આવે છે."
"You can add only enabled products.","તમે ફક્ત સક્ષમ ઉત્પાદનો ઉમેરી શકો છો."
"You cannot upload this file.","તમે આ ફાઇલ અપલોડ કરી શકતા નથી."
"The file is empty.","ફાઇલ ખાલી છે."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","તમે કોઈ ઉત્પાદન SKU દાખલ કર્યો નથી. કૃપા કરીને SKU દ્વારા ઉત્પાદન (્સ) ઉમેરવા માટે <a href=""%1""> અહીં ક્લિક કરો </a>."
"You have not entered a product SKU.","તમે કોઈ ઉત્પાદન SKU દાખલ કર્યો નથી."
"We can't add a product to cart by id ""%1"".","અમે id ""%1"" દ્વારા કાર્ટમાં કોઈ ઉત્પાદન ઉમેરી શકતા નથી."
"Something went wrong while reordering this product.","આ ઉત્પાદનને ફરીથી ગોઠવવામાં કંઈક ખોટું થયું."
"We can't find this wish list.","અમે આ ઇચ્છા સૂચિ શોધી શકતા નથી."
"You added %1 product to your shopping cart.","તમે તમારા શોપિંગ કાર્ટ પર %1 ઉત્પાદન ઉમેર્યું."
"You added %1 products to your shopping cart.","તમે તમારા શોપિંગ કાર્ટમાં %1 ઉત્પાદનો ઉમેર્યા છે."
"%1 product requires your attention.","%1 ઉત્પાદનને તમારું ધ્યાન જરૂરી છે."
"%1 products require your attention.","%1 ઉત્પાદનોને તમારા ધ્યાનની જરૂર છે."
"Yes, for Specified Customer Groups","હા, ઉલ્લેખિત ગ્રાહક જૂથો માટે"
"Yes, for Everyone","હા, દરેક માટે"
No,ના
"Please upload the file in .csv format.","કૃપા કરીને ફાઇલ .csv ફોર્મેટમાં અપલોડ કરો."
"%1 item(s) need your attention.","%1 આઇટમ (ઓ) ને તમારું ધ્યાન આપવાની જરૂર છે."
"Apply Coupon Code","કૂપન કોડ લાગુ કરો"
"Remove Coupon Code","કૂપન કોડ દૂર કરો"
"The coupon code ""%1"" is not valid.","કૂપન કોડ ""%1"" માન્ય નથી."
"Shopping Cart Items","શોપિંગ કાર્ટ વસ્તુઓ"
Subtotal,પેટાસરવાળો
Discount,છૂટ
"Row Subtotal","પંક્તિ પેટાસરવાળો"
Action,ક્રિયા
"No ordered items","કોઈ આદેશ આપ્યો વસ્તુઓ"
"Total %1 product(s)","કુલ %1 ઉત્પાદન (ઓ)"
Subtotal:,પેટાસરવાળો:
"Please select","કૃપા કરી પસંદ કરો"
"Move to Wish List","વિશસૂચિમાં ખસેડો"
"No item specified.","કોઈ આઇટમ ઉલ્લેખિત નથી."
"Are you sure you want to remove this item?","શું તમે ખરેખર આ આઇટમને દૂર કરવા માંગો છો?"
"SKU number","એસકેયુ નંબર"
"Upload File","ફાઈલ અપલોડ કરો"
"Your csv file must include ""sku"" and ""qty"" columns.","તમારી સીએસવી ફાઇલમાં ""sku"" અને ""qty"" કૉલમ્સ શામેલ હોવા આવશ્યક છે."
Reset,"ફરીથી સેટ કરો"
"SKU: ","એસકેયુ: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","સ્ટોકમાં માત્ર <span id = ""%1_max_allowed"">%2 </ span>"
Item,વસ્તુ
"See price before order confirmation.","ઓર્ડર પુષ્ટિ પહેલાં ભાવ જુઓ."
"What's this?","આ શું છે?"
"Excl. Tax","કર બાકાત કરીને"
"Edit item parameters","આઇટમ પરિમાણો ફેરફાર કરો"
Edit,"સંપાદિત કરો"
"Remove item","વસ્તુ દૂર કરો"
"Products Requiring Attention","ધ્યાન જરૂરી વસ્તુઓ"
"Customer Groups","ગ્રાહક જૂથ"
"Please correct the data sent.","મોકલેલો ડેટા વ્યવસ્થિત કરો."
"Entity type model '%1' is not found","એન્ટિટી પ્રકારનું મોડેલ '% 1' મળ્યું નથી."
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","એન્ટિટી પ્રકારનું મોડેલ \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType નું ઉદાહરણ હોવું આવશ્યક છે."
"There are no product types available for export","નિકાસ માટે કોઈ પ્રકારનાં ઉત્પાદન ઉપલબ્ધ નથી."
"Sales Rule","વેચાણ નિયમ"
"Index sales rule","અનુક્રમણિકા વેચાણ નિયમ"
"Related Search Terms","સંબંધિત શોધ શરતો"
"Add New Search Term","નવી શોધ શબ્દ ઉમેરો"
button_label,"બટન નામપટ્ટી"
"Missing search engine parameter.","ખૂટતું શોધ એન્જિન પરિમાણ."
"Successful! Test again?","સફળ! ફરીથી પરીક્ષણ?"
"Connection failed! Test again?","જોડાણ નિષ્ફળ! ફરીથી પરીક્ષણ?"
"Enable Search Recommendations","શોધ ભલામણોને સક્ષમ કરો"
"When you enable this option your site may slow down.","જ્યારે તમે આ વિકલ્પને સક્ષમ કરો છો ત્યારે તમારી સાઇટ ધીમું થઈ શકે છે."
"Search Recommendations Count","શોધ ભલામણો ગણક"
"Show Results Count for Each Recommendation","દરેક ભલામણ માટે પરિણામો ગણક બતાવો"
"Enable Search Suggestions","શોધ સૂચનો સક્ષમ કરો"
"Search Suggestions Count","શોધ સૂચનો ગણક"
"Show Results Count for Each Suggestion","દરેક સૂચન માટે પરિણામ ગણક બતાવો"
"Related search terms","સંબંધિત શોધ શબ્દો"
"Did you mean","શું તમારો અર્થ છે"
"Search Query","શોધ પૂછપરછ"
Store,સંગ્રહ
Results,પરિણામો
Uses,"ઉપયોગ કરે છે"
"Redirect URL","પુનઃદિશામાન યુઆરએલ"
"Suggested Term","સૂચવેલ અવધિ"
Yes,હા
"--Please Select--","--કૃપા કરી પસંદ કરો--"
Done,પૂર્ણ
Retry,"ફરી પ્રયાસ કરો"
"Bulk Actions Log","બલ્ક ક્રિયાઓ લોગ"
Details,વિગતો
"View Details","વિગતો જુઓ"
"Bulk Actions","જથ્થાબંધ ક્રિયાઓ"
Status,સ્થિતિ
"Meta Information","મેટા માહિતી"
Error,ભૂલ
"Number of Records Affected","અસરગ્રસ્ત રેકોર્ડની સંખ્યા"
"Please Select","કૃપા કરી પસંદ કરો"
Enabled,સક્ષમ
options,વિકલ્પો
"Select all","બધા પસંદ કરો"
"Deselect all","બધા નાપસંદ કરો"
"%s of %s selected","%s પસંદ કરેલ %s માંથી"
"B2B Features","બી2બી લક્ષણો"
"Invalid Form Key. Please refresh the page.","
                    અમાન્ય ફોર્મ કી. કૃપા કરીને પૃષ્ઠ તાજું કરો.
                "
"You entered an invalid Secret Key. Please refresh the page.","
                    તમે અમાન્ય સિક્રેટ કી દાખલ કર્યો છે. કૃપા કરીને પૃષ્ઠ તાજું કરો.
                "
"Cache Storage Management","
                    કેશ સ્ટોરેજ મેનેજમેન્ટ
                "
"Flush Magento Cache","
                    ફ્લશ Magento કેશ
                "
"The cache storage may contain additional data. Are you sure that you want to flush it?","
                    કેશ સંગ્રહમાં વધારાના ડેટા હોઈ શકે છે. શું તમે ખરેખર તેને ફ્લશ કરવા માંગો છો?
                "
"Flush Cache Storage","
                    ફ્લશ કેશ સ્ટોરેજ
                "
Invalidated,"
                    અમાન્ય
                "
Orders,"
                    ઓર્ડર
                "
Amounts,"
                    રકમ
                "
Bestsellers,"
                    શ્રેષ્ઠ વેચનાર
                "
"Most Viewed Products","
                    સૌથી વધુ જોવાયેલી પ્રોડક્ટ્સ
                "
Customers,"
                    ગ્રાહકો
                "
Customer,"
                    ગ્રાહક
                "
Guest,"
                    મહેમાન
                "
Items,"
                    વસ્તુઓ
                "
Total,"
                    કુલ
                "
"Lifetime Sales","
                    લાઇફટાઇમ સેલ્સ
                "
"Average Order","
                    સરેરાશ ઓર્ડર
                "
Price,"
                    કિંમત
                "
Quantity,"
                    જથ્થો
                "
Views,"
                    દૃશ્યો
                "
Revenue,"
                    મહેસૂલ
                "
Tax,"
                    ટેક્સ
                "
Shipping,"
                    શિપિંગ
                "
"Images (.gif, .jpg, .png)","
                    છબીઓ (.gif, .jpg, .png)
                "
"Media (.avi, .flv, .swf)","
                    Media (.avi, .flv, .swf)
                "
"All Files","
                    બધી ફાઇલ
                "
"Reset to Default","
                    મૂળભૂત ને પુન:સુયોજિત કરો
                "
"All Store Views","
                    બધા સ્ટોર દૃશ્યો
                "
"Save Account","
                    એકાઉન્ટ સેવ કરો
                "
"My Account","
                    મારુ ખાતુ
                "
"First Name","
                    પ્રથમ નામ (તમારું નામ)
                "
"Last Name","
                    અટક
                "
Email,"
                    ઇમેલ
                "
"New Password","
                    નવો પાસવર્ડ
                "
"Password Confirmation","
                    પાસવર્ડ ખાતરી
                "
"Interface Locale","
                    ઈન્ટરફેસ લોકેલ
                "
"Current User Identity Verification","
                    વર્તમાન વપરાશકર્તા ઓળખ ચકાસણી
                "
"Save Cache Settings","
                    કેશ સેટિંગ્સ સાચવો
                "
"Catalog Rewrites","
                    કેટલોગ રીવાઈટ્સ
                "
Refresh,"
                    પુનઃતાજું કરો
                "
"Images Cache","
                    છબીઓ કેશ
                "
Clear,"
                    સાફ
                "
"Search Index","
                    શોધ ઈન્ડેક્સ
                "
Rebuild,"
                    ફરીથી બનાવો
                "
"Inventory Stock Status","
                    ઇન્વેન્ટરી સ્ટોક સ્થિતિ
                "
"Rebuild Flat Catalog Category","
                    ફ્લેટ કેટલોગ કેટેગરી ફરીથી બનાવો
                "
"Rebuild Flat Catalog Product","
                    ફ્લેટ કેટલોગ ઉત્પાદન ફરીથી બનાવો
                "
"Cache Control","
                    કેશ નિયંત્રણ
                "
"All Cache","
                    બધા કેશ
                "
"No change","
                    કોઈ ફેરફાર નહી
                "
Disable,"
                    અક્ષમ કરો
                "
Enable,"
                    સક્ષમ કરો
                "
"Add Design Change","
                    ડિઝાઇન બદલો ઉમેરો
                "
Back,"
                    પાછું
                "
Delete,"
                    કાઢી નાખો
                "
"Are you sure?","
                    તમે ચોક્કસ છો?
                "
Save,"
                    સાચવો
                "
"Edit Design Change","
                    ડિઝાઇન બદલો ફેરફાર કરો
                "
"New Store Design Change","
                    નવી સ્ટોર ડિઝાઇન બદલો
                "
"General Settings","
                    સામાન્ય સુયોજનો
                "
Store,"
                    સ્ટોર
                "
"-- Please Select --","
                    -- મહેરબાની કરી, પસંદ કરો --
                "
"Custom Design","
                    કસ્ટમ ડિઝાઇન
                "
"Date From","
                    તારીખ થી
                "
"Design Change","
                    ડિઝાઇન બદલો
                "
General,"
                    સામાન્ય
                "
Cancel,"
                    રદ કરો
                "
"Delete %1 '%2'","
                    %1 '%2' દૂર કરો
                "
"Delete %1","
                    %1 દૂર કરો
                "
"Block Information","
                    બ્લોક માહિતી
                "
"Backup Options","
                    બૅકઅપ વિકલ્પો
                "
No,"
                    ના
                "
Yes,"
                    હા
                "
"Create DB Backup","
                    ડીબી બેકઅપ બનાવો
                "
"Delete Store","
                    સ્ટોર કાઢી નાખો
                "
"Delete Web Site","
                    વેબ સાઇટ કાઢી નાખો
                "
"Save Web Site","
                    વેબ સાઇટ સાચવો
                "
"Edit Web Site","
                    વેબ સાઇટ સંપાદિત કરો
                "
"New Web Site","
                    નવી વેબ સાઇટ
                "
"Edit Store","
                    સ્ટોર સંપાદિત કરો
                "
"New Store","
                    નવું સ્ટોર
                "
"Edit Store View","
                    સ્ટોર દૃશ્ય સંપાદિત કરો
                "
"New Store View","
                    નવું સ્ટોર દૃશ્ય
                "
"Store Information","
                    સ્ટોર માહિતી
                "
"Web Site","
                    વેબ સાઈટ
                "
Name,"
                    નામ
                "
Code,"
                    કોડ
                "
"Default Store View","
                    ડિફોલ્ટ સ્ટોર દૃશ્ય
                "
"Store View Information","
                    સ્ટોર દૃશ્ય માહિતી
                "
Status,"
                    સ્થિતિ
                "
Disabled,"
                    અક્ષમ
                "
Enabled,"
                    સક્ષમ
                "
"Sort Order","
                    ક્રમબધ ઓર્ડર
                "
"Web Site Information","
                    વેબ સાઇટ માહિતી
                "
"Default Store","
                    ડિફોલ્ટ સ્ટોર
                "
"Create Website","
                    વેબસાઇટ બનાવો
                "
"Create Store","
                    સ્ટોર બનાવો
                "
"Create Store View","
                    સ્ટોર દૃશ્ય બનાવો
                "
Home,"
                    હોમ
                "
Reset,"
                    રીસેટ
                "
"Are you sure you want to do this?","
                    તમે આ કરવા બાબતે સુનિશ્ચિત છો?
                "
"Add New Image","
                    નવી છબી ઉમેરો
                "
Export,"
                    નિકાસ
                "
Submit,"
                    સબમિટ કરો
                "
"System Backup","સિસ્ટમ બેકઅપ"
"Database and Media Backup","ડેટાબેઝ અને મીડિયા બેકઅપ"
"Database Backup","ડેટાબેઝ બેકઅપ"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Windows સિસ્ટમ્સ પર આર્કાઇવને <a href=""%1"">%2 </a> થી અસંગત કરી શકાય છે."
"You need more permissions to activate maintenance mode right now.","તમારે હમણાં જાળવણી મોડને સક્રિય કરવા માટે વધુ પરવાનગીઓની જરૂર છે."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","બેકઅપ બનાવવા માટે, કૃપા કરીને ""સ્ટોરને જાળવણી મોડમાં મૂકો"" ને નાપસંદ કરો અથવા તમારી પરવાનગીઓને અપડેટ કરો."
"Something went wrong while putting your store into maintenance mode.","તમારા સ્ટોરને જાળવણી મોડમાં મૂકતી વખતે કંઈક ખોટું થયું."
"You need more free space to create a backup.","બેકઅપ બનાવવા માટે તમારે વધુ ખાલી જગ્યાની જરૂર છે."
"You need more permissions to create a backup.","તમારે બેકઅપ બનાવવા માટે વધુ પરવાનગીઓની જરૂર છે."
"We can't create the backup right now.","અમે હમણાં બેકઅપ બનાવી શકતા નથી."
Backups,બૅકઅપ્સ
System,સિસ્ટમ
Tools,સાધનો
Backup,બૅકઅપ
"We can't delete one or more backups.","અમે એક અથવા વધુ બેકઅપ કાઢી શકતા નથી."
failed,નિષ્ફળ
successful,સફળ
"You deleted the selected backup(s).","તમે પસંદ કરેલ બેકઅપ કાઢી નાખ્યું છે."
"Can't load snapshot archive","સ્નેપશોટ આર્કાઇવ લોડ કરી શકાતું નથી"
"Please correct the password.","કૃપા કરી પાસવર્ડને સુધારો."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","રોલબેક પૂર્ણ કરવા માટે, કૃપા કરીને ""દુકાનને જાળવણી મોડમાં મૂકો"" ને નાપસંદ કરો અથવા તમારી પરવાનગીઓને અપડેટ કરો."
"We can't find the backup file.","અમે બેકઅપ ફાઇલ શોધી શકતા નથી."
"We can't connect to the FTP right now.","અમે અત્યારે FTP થી કનેક્ટ કરી શકતા નથી."
"Failed to validate FTP.","FTP માન્ય કરવા માટે નિષ્ફળ."
"You need more permissions to perform a rollback.","રોલબેક કરવા માટે તમને વધુ પરવાનગીઓની જરૂર છે."
"Failed to rollback.","રોલબેકમાં નિષ્ફળ"
Database,ડેટાબેઝ
"Database and Media","ડેટાબેઝ અને મીડિયા"
"System (excluding Media)","સિસ્ટમ (મીડિયા સિવાય)"
"You created the system backup.","તમે સિસ્ટમ બેકઅપ બનાવ્યું."
"You created the system backup (excluding media).","તમે સિસ્ટમ બેકઅપ (મીડિયાને બાદ કરતા) બનાવ્યું છે."
"You created the database and media backup.","તમે ડેટાબેઝ અને મીડિયા બેકઅપ બનાવ્યું."
"You created the database backup.","તમે ડેટાબેઝ બેકઅપ બનાવ્યું."
"Please correct the order of creation for a new backup.","કૃપા કરીને નવા બેકઅપ માટે નિર્માણના ક્રમમાં સુધારો કરો."
"The backup file does not exist.","બેકઅપ ફાઇલ અસ્તિત્વમાં નથી."
"The backup file path was not specified.","બેકઅપ ફાઇલ પાથ ઉલ્લેખિત નથી."
"The backup file ""%1"" does not exist.","બેકઅપ ફાઇલ ""% 1"" અસ્તિત્વમાં નથી."
"Sorry, but we cannot read from or write to backup file ""%1"".","માફ કરશો, પરંતુ અમે બૅકઅપ ફાઇલ ""% 1"" થી વાંચી અથવા લખી શકતા નથી."
"The backup file handler was unspecified.","બેકઅપ ફાઇલ હેન્ડલર અનિશ્ચિત હતું."
"Something went wrong while writing to the backup file ""%1"".","બેકઅપ ફાઇલ ""% 1"" પર લખતી વખતે કંઈક ખોટું થયું."
"We can't save the Cron expression.","આપણે ક્રોન અભિવ્યક્તિને બચાવી શકતા નથી."
"You will lose any data created since the backup was made, including admin users, customers and orders.","એડમિન વપરાશકર્તાઓ, ગ્રાહકો અને ઑર્ડર્સ સહિત બેકઅપ બનાવવામાં આવ્યા પછી તમે બનાવેલ કોઈપણ ડેટા ગુમાવશો."
"Are you sure you want to continue?","શું તમે ખરેખર ચાલુ રાખવા માંગો છો?"
"This may take a few moments.","આમાં થોડો સમય લાગી શકે છે."
"Be sure your store is in maintenance mode during backup.","બેકઅપ દરમિયાન તમારું સ્ટોર જાળવણી મોડમાં છે તેની ખાતરી કરો."
"Backup Name","બેકઅપ નામ"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","કૃપા કરીને આ ક્ષેત્રમાં ફક્ત અક્ષરો (a-z અથવા A-Z), નંબર્સ (0-9) અથવા સ્થાનોનો ઉપયોગ કરો."
"Maintenance mode","જાળવણી સ્થિતિ"
"Please put your store into maintenance mode during backup.","કૃપા કરીને બેકઅપ દરમિયાન તમારા સ્ટોરને જાળવણી મોડમાં મૂકો."
Exclude,બાકાત
"Exclude media folder from backup","બેકઅપ માંથી મીડિયા ફોલ્ડર બાકાત"
"Please enter the password to confirm rollback.","રોલબેકની પુષ્ટિ કરવા માટે કૃપા કરીને પાસવર્ડ દાખલ કરો."
"This action cannot be undone.","આ ક્રિયા પૂર્વવત્ કરી શકાતી નથી."
"User Password","વપરાશકર્તા પાસવર્ડ"
"Please put your store into maintenance mode during rollback processing.","રોલબેક પ્રક્રિયા દરમિયાન કૃપા કરીને તમારા સ્ટોરને જાળવણી મોડમાં મૂકો."
"Use FTP Connection","FTP કનેક્શનનો ઉપયોગ કરો"
"FTP credentials","FTP પ્રમાણપત્રો"
"FTP Host","FTP યજમાન"
"FTP Login","FTP પ્રવેશ"
"FTP Password","FTP પાસવર્ડ"
"Magento root directory","Magento રુટ ડિરેક્ટરી"
"Create Backup","બૅકઅપ બનાવો"
Rollback,રોલબેક
"Enable Scheduled Backup","શેડ્યૂલ કરેલ બેકઅપ સક્ષમ કરો"
"Start Time","પ્રારંભ સમય"
Frequency,આવર્તન
"Maintenance Mode","જાળવણી સ્થિતિ"
Delete,"કાઢી નાખો"
"Are you sure you want to delete the selected backup(s)?","શું તમે ખરેખર પસંદ કરેલા બેકઅપને કાઢી નાખવા માંગો છો?"
Time,સમય
Name,નામ
Size(bytes),"કદ (બાઇટ્સ)"
Type,લખો
Download,"ડાઉનલોડ કરો"
"Save and Continue Edit","સાચવો અને સંપાદિત કરવાનું ચાલુ રાખો"
"* Required Fields","* જરૂરી માહિતી"
Submit,"સબમિટ કરો"
Root,રુટ
"Are you sure you want to delete this category?","શું તમે ખરેખર આ કેટેગરીને કા deleteી નાખવા માંગો છો?"
Save,સાચવો
"Use Config Settings","રૂપરેખા સેટિંગ્સનો ઉપયોગ કરો"
